,,artificial,pantallas
mean_h,count,300.0,300.0
mean_h,mean,106.4307603587963,60.930957892071774
mean_h,std,5.2564116137304655,1.8618898576175886
mean_h,min,77.07972005208333,50.42949435763889
mean_h,25%,103.6904269748264,60.23447428385417
mean_h,50%,106.3373849826389,61.04345703125
mean_h,75%,107.92851671006945,61.547091471354165
mean_h,max,127.06719835069444,79.22593098958333
mean_s,count,300.0,300.0
mean_s,mean,118.65612287326388,143.4799692744502
mean_s,std,8.754269235056196,2.5776219329325505
mean_s,min,99.24898980034722,140.7190353732639
mean_s,25%,110.61783908420139,142.5692203776042
mean_s,50%,118.64759385850695,142.85519368489582
mean_s,75%,126.33405680338542,143.24922037760416
mean_s,max,150.3534450954861,164.63647894965277
mean_v,count,300.0,300.0
mean_v,mean,125.85261143663195,9.940990874565971
mean_v,std,8.261289568104688,0.3883970976084382
mean_v,min,59.14116753472222,5.335249565972222
mean_v,25%,120.1617488606771,9.83340793185764
mean_v,50%,124.45337293836806,9.990811631944446
mean_v,75%,130.8554470486111,10.113328993055557
mean_v,max,148.03654188368054,10.621170789930556
std_v,count,300.0,300.0
std_v,mean,57.41505877564289,16.014400236004278
std_v,std,4.323873027142592,1.0408468688706787
std_v,min,51.45708931009339,2.700616265711689
std_v,25%,53.662258473471525,15.666244299126614
std_v,50%,55.94767077704384,16.03906338690007
std_v,75%,61.110924235219805,16.478058822950782
std_v,max,67.56366585297711,17.82986159100922
mean_a,count,300.0,300.0
mean_a,mean,8.797186342592594,0.3735770616319439
mean_a,std,1.370669523719128,0.15055910855910443
mean_a,min,-0.0362521701388942,-0.8280121527777737
mean_a,25%,8.133578287760415,0.28139973958333536
mean_a,50%,8.950715603298605,0.3936393229166697
mean_a,75%,9.688047146267365,0.48148166232638795
mean_a,max,10.680378689236107,0.578408203125008
mean_b,count,300.0,300.0
mean_b,mean,11.833564713541668,1.5087958695023145
mean_b,std,1.3385041683131822,0.10063697255413004
mean_b,min,7.501698133680549,1.2764236111111131
mean_b,25%,10.894569769965287,1.4276638454861086
mean_b,50%,12.10981879340278,1.5243272569444457
mean_b,75%,12.819648708767351,1.5759312608506946
mean_b,max,14.254581163194445,1.8362456597222088
std_l,count,300.0,300.0
std_l,mean,52.33945329613289,12.895318116911197
std_l,std,4.576934864250099,0.836650107361668
std_l,min,46.20673477970772,1.4600785789652555
std_l,25%,48.36597633677101,12.70485199754485
std_l,50%,51.094222223925,12.950720009010494
std_l,75%,55.452404118297096,13.274989163287682
std_l,max,63.298383167898,14.391222779309842
skew_v,count,300.0,300.0
skew_v,mean,0.20734308689811204,4.9899592267610915
skew_v,std,0.1516360881517597,0.2336626843745384
skew_v,min,-0.0277694968769343,4.441153693899729
skew_v,25%,0.06773036172226878,4.885074976270627
skew_v,50%,0.20837464527600685,4.967903303485134
skew_v,75%,0.3093828626908883,5.04737087458191
skew_v,max,1.6493057893082157,7.467574531974437
v_95,count,300.0,300.0
v_95,mean,237.75,31.6468333333331
v_95,std,12.546135596057011,3.609993788924798
v_95,min,176.0,7.0
v_95,25%,228.0,30.75
v_95,50%,237.0,32.0
v_95,75%,249.0,33.0
v_95,max,255.0,47.0
Etiqueta_Code,count,300.0,300.0
Etiqueta_Code,mean,0.0,1.0
Etiqueta_Code,std,0.0,0.0
Etiqueta_Code,min,0.0,1.0
Etiqueta_Code,25%,0.0,1.0
Etiqueta_Code,50%,0.0,1.0
Etiqueta_Code,75%,0.0,1.0
Etiqueta_Code,max,0.0,1.0
